OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP_put,IV,VOLUME,CHNG IN OI,OI
"2,36,964","1,61,348","12,77,519",8.3,54.5,-17.15,50,53.55,54.5,"3,900","19,500.00",200,158.65,160.7,300,21.35,160,10.61,"8,63,727","60,868","1,13,851"
"57,294","35,053","4,87,136",8.35,38.55,-14.15,50,38.05,38.8,"7,850","19,550.00",500,193,196,500,24.15,193.15,10.79,"2,11,282","7,271","11,645"
"1,32,969","63,135","8,73,191",8.36,25.7,-11.45,350,25.7,27,"2,850","19,600.00","1,500",232,233,"5,000",26.75,232,11.15,"2,76,248","13,593","30,840"
"49,606","11,548","3,43,976",8.39,17.95,-7.45,50,17.4,18.6,650,"19,650.00",50,270.9,274.95,50,30.8,274.1,11.95,"35,787","1,334","3,304"
"1,09,976","31,930","5,72,769",8.46,11.85,-5.5,550,11.7,11.85,900,"19,700.00","2,300",317,317.85,50,32.65,317.35,12.19,"74,187","2,098","20,587"
"38,136","21,061","2,75,141",8.61,8,-3.85,50,7.65,8.05,"1,750","19,750.00",200,360.6,365,50,37.05,363.2,12.85,"10,858",362,"1,944"
"88,565","28,331","4,21,076",8.82,5.6,-2.8,250,5.5,5.55,400,"19,800.00",850,410,412.1,50,38.1,413.15,13.68,"18,919",477,"18,254"
"28,852","14,560","1,72,530",9.22,3.9,-2.1,50,4.1,4.6,50,"19,850.00",150,456,465,200,40.65,457,16.11,767,179,"1,250"
"88,186","54,388","3,30,040",9.67,3.35,-1.1,550,3.35,3.55,50,"19,900.00",250,505.1,510.6,300,44.95,511.1,15.41,"3,862",-41,"2,884"
"20,038","15,006","88,967",10.21,2.95,-0.85,"45,900",2.95,3.2,200,"19,950.00",100,555.05,562.05,200,32.8,552.6,15.77,189,9,574
"1,70,362","1,00,352","3,59,394",10.81,2.7,-0.5,"11,550",2.65,2.7,"1,550","20,000.00",150,604.55,609,"1,000",40.1,607,17.12,"6,241",572,"19,369"
"16,719","6,381","61,250",11.25,2.55,-0.1,"8,850",2.2,2.55,"1,800","20,050.00",150,654.45,660.65,150,30.1,641.9,15.27,136,-16,561
"43,523","30,214","1,37,887",11.9,2.05,-0.5,"39,100",2.05,2.15,"3,400","20,100.00",150,703.25,711.2,250,43.05,706.75,21.54,250,1,"1,851"
"6,521","3,929","28,545",12.5,1.65,-0.8,"1,500",1.65,2.4,650,"20,150.00",500,752.3,762.75,200,-27.9,735.75,14.88,23,-10,610
"40,486","26,614","1,15,306",13.21,2.1,-0.25,"2,900",1.9,2.05,50,"20,200.00",50,801.1,810.05,200,38.6,809.95,19.99,481,86,"1,807"
"3,249",865,"14,745",13.87,2,-0.3,"3,300",1.6,2,500,"20,250.00",200,852.4,862.9,200,25.65,862.55,24.08,30,-1,578
"27,950","9,639","68,393",14.56,1.9,-0.45,550,1.75,1.9,350,"20,300.00",300,902.2,914.25,250,60.8,917,26,117,-8,"1,488"
"1,785","1,040","7,761",15.26,2,-0.25,"3,300",1.5,2,"1,350","20,350.00","1,800",887.05,"1,014.40","1,500",-62.9,966.35,26.92,7,-3,169
"19,313","6,433","33,929",15.65,1.85,-0.35,500,1.85,1.9,100,"20,400.00",150,"1,001.75","1,010.30",200,37.7,"1,005.00",-,20,-8,624
"1,236",512,"4,144",16.51,1.7,-0.4,"1,650",1.7,1.8,600,"20,450.00",150,"1,043.15","1,069.00",200,-,-,-,-,-,87
"72,734","34,123","1,03,836",16.99,1.7,-0.35,"3,950",1.7,1.75,"8,150","20,500.00",200,"1,101.50","1,108.35",600,52.3,"1,113.40",29.33,346,-156,"3,920"
"1,389",688,"7,235",17.58,1.7,-0.25,"1,300",1.5,4.6,"1,800","20,550.00",200,"1,080.10","1,208.40","1,500",-50.05,"1,136.60",22.03,6,-,20
"10,031","6,677","27,868",18.24,1.75,-0.25,50,1.4,1.75,"3,100","20,600.00",400,"1,188.90","1,258.80",200,-178,"1,048.00",-,1,-,115
"1,586","1,208","4,740",18.96,1.65,-0.3,500,1.6,4,100,"20,650.00",150,"1,251.85","1,273.25",150,-,"1,175.80",-,-,-,8
"10,704","3,631","20,474",19.46,1.55,-0.4,"10,650",1.55,1.6,"2,350","20,700.00",50,"1,293.30","1,314.50",50,-17.7,"1,270.15",-,5,-,68
710,556,"3,436",20.1,1.7,0.05,"1,800",1.15,2,50,"20,750.00",150,"1,351.05","1,361.15",450,-,802.45,-,-,-,1
"9,117","5,198","19,916",20.65,1.4,-0.5,"14,450",1.4,1.65,"1,500","20,800.00",150,"1,395.45","1,412.70",50,-28,"1,382.00",22.89,2,-,98
266,39,"1,003",21.03,1.4,-0.05,50,1.35,3.85,"1,800","20,850.00",600,"1,436.05","1,525.75","1,000",459.6,"1,288.35",-,1,-,1
